N,P,K,temperature,humidity,ph,rainfall,label
7.03411957984169,9.449115636374511,9.116482723267529,25.232201759690597,94.38767001604711,6.511665966655945,111.20711004279349,orange
26.294865852347648,63.85577119572151,21.255574913484487,15.78642378838835,21.607162154653107,5.565082044015013,94.38686524276368,kidneybeans
27.0,30.0,5.0,32.71748548,90.54608254,7.656978112000001,113.328978,orange
78.68258193550803,71.54189721949001,46.42772511932935,27.179082125237528,79.60616040925852,6.120188706572942,108.06103812977302,banana
24.0,44.0,17.0,29.8596912,80.03499648,6.666380512000001,50.66487502,mungbean
3.133567633529431,15.312955084012955,31.87114467460906,31.830080278406562,45.140319162270835,6.40206053592583,89.95241980472383,mango
74.01294724833348,38.71574191174266,38.75717620197487,25.01070401834788,82.79988492133745,6.344648080332038,167.1022293895654,jute
20.866394549706794,14.19608094594448,0.0,23.900336412684446,92.25516451060192,6.994233449084301,100.86098149052138,orange
56.52742848197245,61.5954326788521,20.44661241934143,31.66363234319911,59.70653181918542,6.522183843684116,68.03528218654326,blackgram
18.46856376237499,57.4041408323764,22.316374753932998,23.282650422366903,49.062592982873824,7.346416158974515,145.05776290630754,pigeonpeas
107.85737507110312,47.129608843924956,21.648131767274194,23.4218191972123,78.18114582188264,6.211851317974705,83.40788493792567,cotton
74.38336378400807,54.44791338390042,34.766766340315286,25.381824682851565,84.64257064509115,7.118742310783726,219.25156730530898,rice
3.5002081193310532,141.04800116730868,195.70869428630803,22.298193737831976,93.23845127252969,6.187946300269492,117.01259461780506,apple
37.685198200418625,62.030068276688624,21.95054130953605,23.839696854557285,61.01757623883577,7.414084392427552,45.97416669901504,lentil
8.0,139.0,199.0,29.36947679,81.53996362,6.3364266670000005,66.13442813,grapes
117.0,37.0,32.0,23.1069385,67.06230539,6.787658922,162.57696059999995,coffee
127.90382431027165,37.48764537081784,20.556016455730443,25.042609602784214,75.20345420955462,7.001796308331138,92.78094756904356,cotton
110.0,71.0,54.0,28.67208915,82.20793613,5.725418961,94.37987496,banana
53.93264508396271,66.39467175341912,16.01132913206695,32.275281423465245,70.06463362549154,7.267539285013041,63.03782857849277,blackgram
93.0,94.0,53.0,25.86632408,84.42379269,6.079178787999999,114.5357503,banana
49.315842609293824,77.16453181276475,76.38543477735247,17.97581131808205,21.054610070315867,6.930511953658231,88.22369381668621,chickpea
28.0,10.0,30.0,29.8690834,91.14723422,6.305740522000001,192.7678575,coconut
104.0,18.0,30.0,23.60301571,60.39647474,6.779832611000002,140.9370415,coffee
21.160198019416566,137.84083968730314,202.05406903346724,23.64036126770131,93.38512659360275,5.826625813107417,123.31658637499517,apple
61.749771364240104,59.66751886295855,49.59149222103366,42.65242115304315,94.3982074987715,6.738485909011545,42.2561675010314,papaya
101.0,92.0,45.0,28.22776705,80.64303840000002,5.758054257,98.00403016,banana
65.53268922667444,43.58806596520845,43.18123409060868,25.508864188634163,84.06161896978571,5.547789839917448,212.75127386833032,rice
43.0,50.0,48.0,28.28222883,91.37059792,6.63016515,179.27208069999998,papaya
88.0,5.0,47.0,25.86475496,86.67468041,6.662244646,41.16554802,watermelon
102.30335564794638,23.178148506721033,53.27614296098979,30.327603062864956,89.90935000257325,6.1715106057087326,21.399823711687098,muskmelon
6.405644127374249,15.63563142693965,41.8856766397315,19.630881420538543,89.77465758114458,5.900291752454845,108.11169532952059,pomegranate
22.83554062022361,71.81640247534806,15.757403674209892,36.215103453715734,55.31175658207208,7.34696102783686,127.41953424239072,pigeonpeas
111.40389948928666,17.662129746136422,31.612456739682543,27.984600893446984,61.737379786413115,6.784000579740549,192.4761851433084,coffee
55.0,78.0,21.0,33.39438752,62.93692886,6.602888248999999,63.57445989,blackgram
35.82947416287745,121.32371081703194,202.32389502170093,26.26872748830109,81.7330477488875,6.37687124778823,66.96254179777992,grapes
30.5391691576063,40.342298290124866,18.58940466619699,29.87675054561983,87.4859213039878,6.357747741303442,52.242798163204846,mungbean
11.0,72.0,22.0,29.37735586,44.82294584,6.842744374,172.40168,pigeonpeas
0.0,58.29971273422872,24.00697582863562,27.351370787327944,86.83468667943474,7.228651275046076,44.07684671721718,mungbean
34.0,6.0,30.0,27.0828252,97.00155491,5.948342571,171.7575545,coconut
4.732843285628198,23.583930129402024,15.661881697692229,25.941914894119417,92.75536344676003,7.431180307476484,113.09610456897694,orange
33.618419761123896,74.89687176897459,78.23378270925417,18.905808396459097,14.7638341723672,8.163250835630679,94.33778692548525,chickpea
32.0,145.0,203.0,23.83053666,90.84422164,6.406818518,109.5966791,apple
73.46862852692124,51.13519132866083,43.613334333841365,23.54129365726616,73.72525150656635,7.4319435693803175,201.0616571824833,jute
30.557477458736926,29.251896531544514,27.488591620577346,29.07067393328738,90.20299593864952,5.763576892994053,146.67682197884162,coconut
22.91507383555582,139.00819890509686,195.59402430390372,22.64313763367763,92.82975006852455,5.770892850813933,121.21745536238289,apple
11.0,40.0,23.0,29.61253065,63.04749127,5.80428611,50.1978269,mothbeans
